 original_language ,original_title,overview,runtime,tagline,vote_average
 en ,Yesterday Was a Lie,"Hoyle a girl with a sharp mind and a weakness for bourbon -- finds herself on the trail of a reclusive genius. But her work takes a series of unforeseen twists as events around her grow increasingly fragmented... disconnected... surreal. With an ethereal lounge singer and her loyal partner as her only allies, Hoyle is plunged into a dark world of intrigue and earth-shattering cosmological secrets. Haunted by an ever-present shadow whom she is destined to face, Hoyle discovers that the most powerful force in the universe -- the power to bend reality, the power to know the truth -- lies within the depths of the human heart.",89,,6
 en ,Theresa Is a Mother,"Singer/songwriter and single mother Theresa McDermott has finally hit the end of the line in NYC. Unable to make ends meet, she is forced to pack up her life and her 3 girls and move back to the small town and parents she ran from a decade ago. Teresa needs a job, her parents need their space and a family tragedy that was never dealt with from years past needs closure. Old wounds, unattainable dreams and a few other things expose themselves as a fractured family works to become whole and a single mom, a responsible mother.",105,,0
 en ,H.,"H. is a modern interpretation of a classic Greek tragedy in which two women, each named Helen, live out their mirrored lives of one another in the town of Troy, NY.  The first Helen is in her 60s, lives with her husband Roy, and takes care of a small, extremely lifelike baby doll called a “Reborn Doll,” which she cares for as a living baby.  The second Helen is in her 30s, has a successful art career with her partner Alex, and is four months pregnant.  One night, something falls out of the sky and explodes over the town. In the aftermath of this event, bizarre and unexplainable things begin to happen.  Many people in the town go missing—Helen’s husband being one of them—and unnatural cloud formations begin appearing in the sky.  Meanwhile, the two Helens find themselves, and their lives spinning out of control.",93,,6.5
 en ,Archaeology of a Woman,A woman's dementia uncovers secrets of a 30-year-old crime as her daughter struggles to deal with the fallout,94,,0
 fa ,بچه‌های آسمان,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes, Ali's. School awaits...",89,A Little Secret...Their Biggest Adventure!,7.8
 en ,Weekend,"After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special.",96,A (sort of) love story between two guys over a cold weekend in October.,7.4
 en ,She's Gotta Have It,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",84,A Seriously Sexy Comedy,6.1
 en ,Butterfly Girl,"Abbie came of age in honky tonks, defying her life threatening disease, but all the while longing for an identity of her own. Now that she is 18, how much is she willing to sacrifice for her independence?",77,,0
 ro ,Lumea e a mea,"Larisa is 16 and lives in a city by the sea. It's a small city, where gossip and news spread fast. It's a city where your image and influence, ""manelele"", money and power are all that matters. And Larisa… wants it all. And even if she doesn't have it, she fights for it. Larisa believes in herself. She knows that she deserves better. She is convinced that it's worth doing everything it takes to fulfill her dreams. And for her courage and recklessness - we love her.",104,,0
 en ,Another Earth,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",92,,6.8
 en ,Sweet Sweetback's Baadasssss Song,"After saving a Black Panther from some racist cops, a black male prostitute goes on the run from ""the man"" with the help of the ghetto community and some disillusioned Hells Angels.",97,The Film that THE MAN doesn't want you to see!,4.6
 en ,Perfect Cowboy,"Two gay fathers of a straight country western singers, all living in a rural community and playing music together. Jimmy Poole gets out of prison and kicks his step-son Mark out of the family's band.",109,,5
 en ,Tadpole,"Beautiful, sophisticated women are all over Oscar Grubman. He is sensitive and compassionate, speaks French fluently, is passionate about Voltaire, and thinks the feature that tells the most about a woman is her hands. On the train home from Chauncey Academy for the Thanksgiving weekend, Oscar confides in his best friend that he has plans for this vacation--he will win the heart of his true love. But there is one major problem--Oscar's true love is his stepmother Eve. Oscar is certain that he could be a better mate to Eve than his work-obsessed father. He fails to win Eve's heart and is consequently dejected. Oscar's path to his true love is further crossed by Diane, Eve's best friend who, one night while wearing Eve's borrowed perfumed scarf, offers him temporary comfort in an unconventional tryst. For Diane, Oscar fills a void in her life. For Oscar, Diane is somewhat of a distraction, as his continued pursuit of Eve leads to an unexpected resolution.",78,Everyone says he should date girls his own age. Oscar respectfully disagrees.,5.5
 en ,Once,"A vacuum repairman moonlights as a street musician and hopes for his big break. One day a Czech immigrant, who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love.",85,How often do you find the right person?,7.3
 en ,The Woman Chaser,A 1950s used-car salesman (Patrick Warburton) wants to make a low-budget film about a trucker who accidentally runs down a child.,90,,4.9
 en ,The Horse Boy,"Filmmaker Michel Orion Scott captures a magical journey into a little-known world, in a documentary which chronicles Rupert Isaacson and Kristin Neff's personal odyssey to make sense of their child's autism, and find healing for him and themselves in the unlikeliest of places.",93,,5.5
 en ,When the Lights Went Out,"Yorkshire, 1974, the Maynard family moves into their dream house. It's a dream that quickly descends into a panic stricken nightmare as the family discovers a horrifying truth, a truth that will make the history books. The house is already occupied by the most violent poltergeist ever documented, a poltergeist that will tear you from your bed as you sleep and drag you helplessly into the darkness.",86,Set in 1974 and based on true events.,5.8
